Player,Year,win3_full,win5_full,played3,best3,top23,top33,total3,games3,seasons3,played5,best5,top25,top35,total5,games5,seasons5
Antwan Goodley,2015,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Cayleb Jones,2016,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Rashawn Scott,2016,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Darreus Rogers,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Kermit Whitfield,2017,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Ka'Raun White,2018,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Johnnie Dixon,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jamal Custis,2019,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Chris Finke,2020,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Charleston Rambo,2022,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Braylon Sanders,2022,1,0,1,0.0,0.0,0.0,1.7,2,1,1,0.0,0.0,0.0,1.7,2,1
Jadon Haselwood,2023,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Matt Landers,2023,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
Zay Flowers,2023,1,0,1,14.311764705882354,13.605882352941176,13.178431372549019,659.2,50,3,1,14.311764705882354,13.605882352941176,13.178431372549019,659.2,50,3
Puka Nacua,2023,1,0,1,23.4375,21.10965909090909,19.92604723707665,880.1,44,3,1,23.4375,21.10965909090909,19.92604723707665,880.1,44,3
